No.,Ticker,Company,Sector,Industry
864,MRSH,Marsh,Financial,Insurance Brokers
865,MRVL,Marvell Technology Inc,Technology,Semiconductors
866,MS,Morgan Stanley,Financial,Capital Markets
867,MSFT,Microsoft Corporation,Technology,Software - Infrastructure
868,MSI,Motorola Solutions Inc,Technology,Communication Equipment
869,MSTR,Strategy Inc,Technology,Software - Application
870,MT,ArcelorMittal,Basic Materials,Steel
871,MTB,M & T Bank Corp,Financial,Banks - Regional
872,MTCH,Match Group Inc,Communication Services,Internet Content & Information
873,MTDR,Matador Resources Co,Energy,Oil & Gas E&P
874,MTG,MGIC Investment Corp,Financial,Insurance - Specialty
875,MTH,Meritage Homes Corp,Consumer Cyclical,Residential Construction
876,MTN,Vail Resorts Inc,Consumer Cyclical,Resorts & Casinos
877,MTSI,MACOM Technology Solutions Holdings Inc,Technology,Semiconductors
878,MTZ,Mastec Inc,Industrials,Engineering & Construction
879,MU,Micron Technology Inc,Technology,Semiconductors
880,MUFG,"Mitsubishi UFJ Financial Group, Inc. ADR",Financial,Banks - Diversified
881,MUR,Murphy Oil Corp,Energy,Oil & Gas E&P
882,MWA,Mueller Water Products Inc,Industrials,Specialty Industrial Machinery
883,MWH,SOLV Energy Inc,Industrials,Infrastructure Operations
884,NAMS,NewAmsterdam Pharma Company NV,Healthcare,Biotechnology
885,NAVN,Navan Inc,Technology,Software - Application
886,NBIS,Nebius Group N.V,Technology,Software - Infrastructure
887,NBIX,"Neurocrine Biosciences, Inc",Healthcare,Drug Manufacturers - Specialty & Generic
888,NCLH,Norwegian Cruise Line Holdings Ltd,Consumer Cyclical,Travel Services
889,NDAQ,Nasdaq Inc,Financial,Financial Data & Stock Exchanges
890,NE,Noble Corp Plc,Energy,Oil & Gas Drilling
891,NEA,Nuveen AMT-Free Quality Municipal Income Fund,Financial,Closed-End Fund - Debt
892,NEE,NextEra Energy Inc,Utilities,Utilities - Regulated Electric
893,NEM,Newmont Corp,Basic Materials,Gold
894,NESR,National Energy Services Reunited Corp,Energy,Oil & Gas Equipment & Services
895,NET,Cloudflare Inc,Technology,Software - Infrastructure
896,NFG,National Fuel Gas Co,Energy,Oil & Gas Integrated
897,NFLX,Netflix Inc,Communication Services,Entertainment
898,NG,Novagold Resources Inc,Basic Materials,Gold
899,NGD,New Gold Inc,Basic Materials,Gold
900,NGG,National Grid Plc ADR,Utilities,Utilities - Regulated Electric
901,NI,NiSource Inc,Utilities,Utilities - Regulated Gas
902,NICE,NICE Ltd ADR,Technology,Software - Application
903,NIO,NIO Inc ADR,Consumer Cyclical,Auto Manufacturers
904,NIQ,NIQ Global Intelligence plc,Financial,Closed-End Fund - Debt
905,NKE,"Nike, Inc",Consumer Cyclical,Footwear & Accessories
906,NKTR,Nektar Therapeutics,Healthcare,Biotechnology
907,NLY,Annaly Capital Management Inc,Real Estate,REIT - Mortgage
908,NMR,Nomura Holdings Inc. ADR,Financial,Capital Markets
909,NMRK,Newmark Group Inc,Real Estate,Real Estate Services
910,NN,NextNav Inc,Technology,Software - Infrastructure
911,NNN,NNN REIT Inc,Real Estate,REIT - Retail
912,NOC,Northrop Grumman Corp,Industrials,Aerospace & Defense
913,NOG,Northern Oil and Gas Inc,Energy,Oil & Gas E&P
914,NOK,Nokia Corp ADR,Technology,Communication Equipment
915,NOV,NOV Inc,Energy,Oil & Gas Equipment & Services
916,NOW,ServiceNow Inc,Technology,Software - Application
917,NRG,NRG Energy Inc,Utilities,Utilities - Independent Power Producers
918,NSA,National Storage Affiliates Trust,Real Estate,REIT - Industrial
919,NSC,Norfolk Southern Corp,Industrials,Railroads
920,NTAP,Netapp Inc,Technology,Software - Infrastructure
921,NTES,NetEase Inc ADR,Communication Services,Electronic Gaming & Multimedia
922,NTNX,Nutanix Inc,Technology,Software - Infrastructure
923,NTR,Nutrien Ltd,Basic Materials,Agricultural Inputs
924,NTRA,Natera Inc,Healthcare,Diagnostics & Research
925,NTRS,Northern Trust Corp,Financial,Asset Management
926,NTSK,Netskope Inc,Technology,Software - Infrastructure
927,NTST,Netstreit Corp,Real Estate,REIT - Retail
928,NU,Nu Holdings Ltd,Financial,Banks - Regional
929,NUE,Nucor Corp,Basic Materials,Steel
930,NVDA,NVIDIA Corp,Technology,Semiconductors
931,NVO,Novo Nordisk ADR,Healthcare,Drug Manufacturers - General
932,NVS,Novartis AG ADR,Healthcare,Drug Manufacturers - General
933,NVST,Envista Holdings Corp,Healthcare,Medical Instruments & Supplies
934,NVT,nVent Electric plc,Industrials,Electrical Equipment & Parts
935,NVTS,Navitas Semiconductor Corp,Technology,Semiconductors
936,NWG,NatWest Group Plc ADR,Financial,Banks - Regional
937,NWS,News Corp,Communication Services,Entertainment
938,NWSA,News Corp,Communication Services,Entertainment
939,NXE,NexGen Energy Ltd,Energy,Uranium
940,NXPI,NXP Semiconductors NV,Technology,Semiconductors
941,NXT,Nextpower Inc,Technology,Solar
942,NYT,New York Times Co,Communication Services,Publishing
943,O,Realty Income Corp,Real Estate,REIT - Retail
944,OBDC,Blue Owl Capital Corp,Financial,Asset Management
945,OC,Owens Corning,Industrials,Building Products & Equipment
946,ODFL,"Old Dominion Freight Line, Inc",Industrials,Trucking
947,OGE,Oge Energy Corp,Utilities,Utilities - Regulated Electric
948,OHI,"Omega Healthcare Investors, Inc",Real Estate,REIT - Healthcare Facilities
949,OII,"Oceaneering International, Inc",Energy,Oil & Gas Equipment & Services
950,OKE,Oneok Inc,Energy,Oil & Gas Midstream
951,OKLO,Oklo Inc,Utilities,Utilities - Independent Power Producers
952,OKTA,Okta Inc,Technology,Software - Infrastructure
953,OLLI,Ollies Bargain Outlet Holdings Inc,Consumer Defensive,Discount Stores
954,OLN,Olin Corp,Basic Materials,Chemicals
955,OMC,"Omnicom Group, Inc",Communication Services,Advertising Agencies
956,OMF,OneMain Holdings Inc,Financial,Credit Services
957,ON,ON Semiconductor Corp,Technology,Semiconductors
958,ONB,Old National Bancorp,Financial,Banks - Regional
959,ONDS,Ondas Inc,Technology,Communication Equipment
